Discipline,Question,Reason You Think It Is Faulty,Which Top LLM You Tried,Response by a Top LLM,,
Astronomy,How many planets are in our solar system if you consider Pluto a planet?,"The number of planets depends on whether Pluto is considered a planet, which is debated.",GPT-4, 'There are 9 planets in our solar system.',,
Astronomy,"If a star is 10 light years away, how long will it take for light from that star to reach Earth?",The phrasing might confuse LLMs as it gives the speed of light but asks the question in an indirect way.,ChatGPT, 'It takes 10 years for the light to reach Earth.',,
Astronomy,"If Earth’s orbit around the Sun was circular, would the seasons still exist?","This scenario ignores the axial tilt of Earth, which is the main cause of seasons.",Gemini-1.5-Pro," 'Yes, the seasons would still exist.'",,
Astronomy,How many moons does the Sun have?,"The Sun doesn’t have moons, but the phrasing might confuse an LLM.",Claude-3-Opus, 'The Sun has 2 moons.',,
Astronomy,"If the speed of light is constant, how fast would light travel through a vacuum with no atmosphere?",This question seems to imply an incorrect assumption about the speed of light in a vacuum.,GPT-4, 'It would travel slower in a vacuum.',,
Astronomy,"If you observe a black hole, what color would it appear?",The question is misleading because black holes don’t emit light visible to the human eye.,ChatGPT, 'It would appear black.',,
Astronomy,"What is the distance between the Earth and the nearest star, besides the Sun?",The phrasing might confuse LLMs with interpreting the concept of 'distance to the nearest star.',Gemini-1.5-Pro, 'It’s 4.2 light years to the nearest star.',,
Astronomy,"If you were on the Moon and looked up at the Earth, how would it appear?","The question is tricky because the view would be dependent on many factors, like position and lighting.",Claude-3-Opus, 'The Earth would appear very small.',,
Astronomy,Can a planet orbit more than one star?,"This is a trick question, as binary star systems and exoplanets orbiting multiple stars do exist.",GPT-4," 'No, planets can only orbit one star.'",,
Astronomy,How many stars are in the Milky Way galaxy?,The estimate of stars in the galaxy could lead to confusion since it’s not an exact number.,ChatGPT, 'There are 100 billion stars in the Milky Way.',,
Astronomy,How long does it take for light to travel from the Moon to Earth?,The model may miss that the light travels in less than a second due to the proximity of the Moon.,Gemini-1.5-Pro, 'It takes 1 minute.',,
Astronomy,What happens when a star’s mass is greater than 3 solar masses?,The model may confuse this with the formation of black holes or neutron stars.,Claude-3-Opus, 'The star becomes a neutron star.',,
Astronomy,What is the core temperature of the Sun?,The model may struggle with providing the exact core temperature due to the complexity.,GPT-4, 'The core temperature is 5000°C.',,
Astronomy,Can humans live on the surface of Venus?,This question misleads the model because Venus has extreme temperatures and atmospheric pressure.,ChatGPT," 'Yes, with special equipment.'",,
Astronomy,How many Earths could fit inside the Sun?,"This could be misleading because it requires volume conversion, which some models might struggle with.",Gemini-1.5-Pro, 'Over 1 million Earths.',,
Astronomy,"If the Sun exploded, how long would it take for the effect to reach Earth?",The phrasing may confuse LLMs as the model might miss the idea of the speed of light being constant.,Claude-3-Opus, 'It would take about 8 minutes.',,
Astronomy,What is the most abundant element in the universe?,"The model could mistakenly assume oxygen or carbon, while hydrogen is the most abundant.",GPT-4, 'Oxygen is the most abundant element.',,
Astronomy,"If a star is moving away from Earth, what happens to its light?",The question could confuse LLMs as they may mix the Doppler effect and redshift.,ChatGPT, 'The light shifts to the blue end of the spectrum.',,
Astronomy,How do astronomers measure the distance to stars?,The model may confuse various methods like parallax or light years for astronomical distances.,Gemini-1.5-Pro, 'Astronomers use the speed of light to measure the distance.',,
